questions,answers
where does volga river start?,Valdai Hills
who does ryan newman race for?,Alltel
what was the political system in libya?,"Provisional government, Parliamentary republic"
who plays the voice of lois griffin on family guy?,Alex Borstein
what the currency in argentina?,Argentine peso
where does eddie bravo teach?,Brazilian jiu-jitsu
when did michael schumacher win his first title?,1995
where does sally pearson live?,Gold Coast
where is madeira?,"Atlantic Ocean, Azores Canaries Madeira, Madeira Islands archipelago, Portugal"
what country is joseph prince from?,Singapore
when did democritus discovered the atom?,6129 Demokritos
what do they speak in austria?,"Austrian German, Bosnian language, Hungarian language, Croatian language, Serbian language, Bavarian Language, Slovenian language, German Language, Turkish Language"
what things did thomas edison invent?,"Phonograph, Carbon microphone, Mimeograph, Quadruplex telegraph, Electric power distribution, Movie camera, Incandescent light bulb, Phonograph cylinder"
where is the sistine chapel by michelangelo?,Rome
who has played edward quartermaine on general hospital?,David Lewis
what is the zip code for iselin nj?,08830
what are fun things to do in philadelphia?,"Philadelphia Zoo, Wagner Free Institute of Science, African American Museum in Philadelphia, Liberty Bell, Rodin Museum, Independence Hall, Boathouse Row, Academy of Natural Sciences, Reading Terminal Market, Franklin Institute"
who does david carr play for?,"San Francisco 49ers, Carolina Panthers, New York Giants, Houston Texans, Fresno State Bulldogs football"
where did jackie robinson go to school?,"University of California, Los Angeles, Pasadena City College, John Muir High School"
what strings does john mayer?,guitar
who plays stacey in zoey 101?,Lacey Turner
when did sanchez leave usc?,2009 NFL season
who is steven seagal sister?,Brenda Seagal
on what continent is canada found?,North America
what is the primary language of israel?,"Hebrew Language, Arabic Language"
who is married to jane krakowski?,Robert Godley
what role did tom cruise play in endless love?,Billy
what city was ronald reagan born in?,Tampico
what countries in the world speak arabic?,"Tunisia, Eritrea, Saudi Arabia, Comoros"
what 4 states border the pacific ocean?,Oregon
what to do in nadi fiji?,"Garden of the Sleeping Giant, Subar Maniya, Yasawa, Kula Eco Park, Mamanuca Islands, Nananu-i-Ra, Koroyanitu National Park, Navala Bures, Denerau Beach, Sri Siva Subramaniya temple"
when does medicare part d start?,Centers for Medicare and Medicaid Services
what is the postcode for seoul south korea?,139-799
what type of government does the bahamas have?,"Parliamentary system, Unitary state, Constitutional monarchy"
where is bosnia?,"Europe, Eurasia, Balkans"
what countries speak german as a first language?,"Canada, German Democratic Republic, Luxembourg, Switzerland, Liechtenstein, Germany, West Germany, Belgium, Vatican City, Second Polish Republic"
where is amazon based out of?,Seattle
what team did mike piazza retire with?,New York Mets
where did robert boyle study?,"Eton College, University College, Oxford"
what is there to see near the grand canyon?,"Phoenix, Grand Canyon National Park, Lake Powell"
where does the fda get its authority?,Commisioner of Food and Drugs
where does hector camacho live?,United States of America
what language do cyprus speak?,"Greek Language, Turkish Language"
where does fabio aurelio play?,"Grêmio Foot-Ball Porto Alegrense, Liverpool F.C."
what war did george washington help win?,American Revolutionary War
where does danny ainge live?,"Wellesley, Eugene"
who plays young joe dirt?,David Spade
what company did verizon used to be?,AT&T Corporation
who was king tut's wife?,Ankhesenamun
what are the kennedys?,"Rose Fitzgerald Kennedy, Patrick Bouvier Kennedy, John F. Kennedy, Rosemary Kennedy, Caroline Kennedy, Kathleen Cavendish, John F. Kennedy, Jr., Joseph P. Kennedy, Sr., Bobby Shriver, Joseph P. Kennedy, Jr."
where kurdish people come from?,Asia
where is sarajevo located?,"Federation of Bosnia and Herzegovina, Bosnia and Herzegovina, Sarajevo Canton"
what is the official language in china?,"Nepali Language, Standard Tibetan, Chinese language, Zhuang languages, Korean Language, English Language, Esperanto Language, Mongolian language, Portuguese Language, Cantonese"
what teams are left in the nfl?,"New York Jets, Carolina Panthers, Denver Broncos, Baltimore Ravens, Detroit Lions, Kansas City Chiefs, Arizona Cardinals, New York Giants, Jacksonville Jaguars, Oakland Raiders"
what art movement was pablo picasso part of?,"Cubism, Analytic cubism, African Period, Picasso's Blue Period, Italian modern and contemporary art, Synthetic cubism, Picasso's Rose Period"
what type of business is mitt romney in?,Politician
what language do they speak in egyptian?,"Sa'idi Arabic, Domari Language, Nobiin Language, Bedawi Arabic, Arabic Language, Siwi Language, Egyptian Arabic, Arabic, Sudanese Spoken Language"
in what year did columbus sail to the new world?,1492 Conquest of Paradise
what countries are included in the continent of asia?,"Bahrain, Afghanistan, Bangladesh, Bhutan, Brunei, Indonesia, India, Cambodia, China, Iraq"
who owns wikimedia foundation?,Jimmy Wales
what war was george washington president during?,American Revolutionary War
which airport do ba fly to in oslo?,"Oslo Airport, Gardermoen, Oslo Airport, Fornebu"
what is there for kids to do in miami?,"Wolfsonian-FIU, Lowe Art Museum, Holocaust Memorial of the Greater Miami Jewish Federation, Miami Art Museum, Frost Art Museum, Coral Castle, Jewish Museum of Florida, Jungle Island, Miami Seaquarium, Venetian Pool"
what country columbus was born?,Genoa
what bella name her baby?,Renesmee Carlie Cullen
what is the houston rockets mascot?,Clutch
what is there fun to do in san diego?,"Hotel del Coronado, Cabrillo National Monument, San Diego Zoo Safari Park, San Diego Zoo, Mission San Diego de Alcalá, Old Town San Diego State Historic Park, Balboa Park, Birch Aquarium, Old Point Loma Lighthouse, USS Midway"
what movies johnny depp is in?,"Benny & Joon, Blow, A Nightmare on Elm Street, Arizona Dream, Chocolat, Dead Man, Charlie and the Chocolate Factory, Cry-Baby, Public Enemies, Corpse Bride"
what countries did andy warhol work?,United States of America
what songs does katherine jenkins sing?,"O Holy Night, Seguedilla, Wales Victorious (Bread of Heaven 2003), Time to Say Goodbye, O Sole Mio, Habanera, One Fine Day, House of No Regrets, Song to the Moon, Caruso"
what is ryan seacrest famous for?,Presenter
what is the current leader of japan?,Shinzō Abe
what does george soros own?,"Open Society Foundations, Soros Fund Management, Open Society Initiative for Southern Africa, Soros Foundations Network, Central European University, Stefan Batory Foundation, Democracy Alliance, MoveOn.org, Drug Policy Alliance, J Street"
what kind of money should i bring to dominican?,Dominican peso
who is the president of ecuador in 2012?,Rafael Correa
what city became the capital of the assyrian empire?,Assur
who started the federal reserve board?,"Woodrow Wilson, Franklin D. Roosevelt, Paul Warburg, Carter Glass"
where did marco rubio go to college?,"Santa Fe College, University of Miami, University of Florida, Tarkio College, Missouri, South Miami High School, University of Miami School of Law"
where in tennessee are the smoky mountains?,Appalachian Mountains
where was emperor tiberius born?,Rome
who did ronald reagan get shot by?,"John Hinckley, Jr."
what county is novato in?,Marin County
who did president kennedy marry?,Jacqueline Kennedy Onassis
what movies did zoe saldana play in?,"The Losers, Colombiana, Star Trek, Avatar, Drumline, Death at a Funeral"
where to go in mexico for vacation?,Yucatán
who does nikki reed play in the movie twilight?,Rosalie Hale
what does matt dallas do now?,Actor
where did frank bruno live?,United Kingdom
what type of cancer did donna summer died from?,"Lung cancer, Cancer"
where's the hudson river?,New York City
how long is queen victoria's reign?,"Her sixty-two year reign began in 1837 when her uncle, William IV, died without an heir."
what is the state flower of pennsylvania?,Kalmia latifolia
what school did michael jackson attend?,Montclair College Preparatory School
what does kenya moore do for a living?,"Film Producer, Model, Actor"
who was wale signed to?,"Def Jam Recordings, Warner Bros. Records, Roc Nation, Allido Records, Interscope Records"
who did tyson chandler play for?,New York Knicks
what character did liv tyler play in lord of the rings?,Arwen
who played princess leia in star wars movies?,Carrie Fisher
what did barack obama do before he took office?,Illinois State Senator
where was saint joseph from?,Canaan
where does kenya moore get her money?,Actor
what round did manny pacquiao win in?,celebritynetworth.com
what are countries in south asia?,"Afghanistan, Maldives, Bangladesh, Bhutan, Tibet, British Indian Ocean Territory, Nepal, Daoud's Republic of Afghanistan, Sri Lanka, Democratic Republic of Afghanistan"
where is the caribbean geographically located?,Puerto Rico
what songs does tom delonge sing?,"I Miss You, All the Small Things"
where did monta ellis go to college?,Sidney Lanier High School
what was the cause of death of michael jackson?,"Homicide, Cardiac arrest"
who played laura ingalls mother?,Caroline Ingalls
what is the capital city of texas usa?,Austin
what is the main language spoken in switzerland?,"Romansh language, French Language, German Language, Italian Language"
what timezone is indianapolis in now?,North American Eastern Time Zone
where do cruises leave from in rome?,Civitavecchia Ferry Terminal
what time zone is new england usa in?,North American Eastern Time Zone
what is tulane university's mascot?,Riptide the Pelican
where is aviano air force base located?,Italy
who is the owner of the philadelphia eagles?,Jeffrey Lurie
where did giovanni da verrazano live?,Dieppe
what movies does johnny depp play in?,"Benny & Joon, Blow, A Nightmare on Elm Street, Arizona Dream, Chocolat, Dead Man, Charlie and the Chocolate Factory, Cry-Baby, Public Enemies, Corpse Bride"
who has won the last 10 nba championships?,"Phoenix Suns, Golden State Warriors, Los Angeles Lakers, Cleveland Cavaliers, Houston Rockets, Charlotte Bobcats, Detroit Pistons, Indiana Pacers, Utah Jazz, Orlando Magic"
who is the coach of the pittsburgh steelers 2005?,Bill Cowher
when are the summer olympics held?,Once every two years
when did mcgee start on ncis?,NCIS - Season 1
what atom did j.j thomson discover?,"The electron in chemistry, Tendencies of recent investigations in the field of physics, Electricity and matter, Rays of positive electricity and their application to chemical analyses, Conduction of electricity through gases, The discharge of electricity through gases, Elements of the mathematical theory of electricity and magnetism, A treatise on the motion of vortex rings"
what country did the zulu live in?,"Zambia, Zimbabwe, Mozambique, KwaZulu-Natal"
where to fly in for galapagos islands?,"Seymour Airport, San Cristóbal Airport"
who has tom brady played for?,"Michigan Wolverines football, New England Patriots"
who are betty white's husbands?,"Lane Allen, Allen Ludden, Dick Barker"
what are the major languages spoken in italy?,Italian Language
what years have the giants won the world series?,"2010 World Series, 2012 World Series"
where did nick clegg go to prep school?,Caldicott School
where did laura bush grow up?,Midland
what currency should i take to mauritius?,Mauritian rupee
what is a judge in the supreme court called?,Chief Justice of the United States
what did johannes kepler accomplish?,"Mathematician, Astronomer, Scientist, Astrologer"
what college did edgar allan poe go to?,University of Virginia
who is ellen albertini dow?,Actor
where is the singapore zoo?,Singapore district
what town was abe lincoln born in?,Hodgenville
what do ethiopia import and export?,"Leather and Hide Tanning and Finishing, Coffee and Tea Manufacturing, Livestock Merchant Wholesalers"
what challenges did helen keller have to face?,"Deafness, Vision loss"
who is andy williams brother?,"Bob Williams, Dick Williams, Don Williams"
who was the 2nd prime minister of pakistan?,Muhammad Zia-ul-Haq
where does morrissey live 2010?,Manchester
who played atticus finch in the movie?,Gregory Peck
where did toussaint louverture live?,Haiti
what other countries share a border with china?,"Pakistan, Kyrgyzstan, Myanmar, Bhutan, Afghanistan, Tajikistan, India, Mongolia, Laos, Kazakhstan"
who has the voice of stewie griffin?,Seth MacFarlane
what party did john tyler belong to?,"Democratic Party, Independent, Whig Party"
who is the senator of the state of texas?,John Cornyn
where to stay in thailand koh samui?,UTC+07:00
who is jensen ackles in a relationship with?,Danneel Ackles
what is the currency used in brazil?,Brazilian real
what was marie curie best known for?,"Radium, Radiation, Polonium"
what money is used in mozambique?,Mozambican metical
who is the governor of indiana 2012?,Mitch Daniels
who was kim kardashian's first husband?,Damon Thomas
who did jerry rice retire with?,San Francisco 49ers
what are the official languages of the dominican republic?,Spanish Language
what did anton van leeuwenhoek discover?,microscope first used by anton van leeuwenhoek
where was ted kennedy buried?,Arlington National Cemetery
where do most immigrants in the united states come from today?,Mexico
what state toronto located?,Ontario
who is the governor of wyoming currently?,Matt Mead
who was the president of indian national congress?,"Sonia Gandhi, Shankar Dayal Sharma, N. S. V. Chitthan, Indira Gandhi, Manmohan Singh, Rajiv Gandhi, Mahatma Gandhi, Pratibha Patil, P. V. Narasimha Rao, Ambareesh"
where do most of the people in egypt live?,Cairo
where was benjamin franklin raised?,Boston
what money do they have in italy?,Euro
what is phoebe halliwell's real name?,Alyssa Milano
what is the name of the capital of spain?,Madrid
what did people in the bible say about jesus?,"A lot of people say to me, Why did you kill Christ? I dunno... it was one of those parties, got out of hand, you know. We killed him because he didn't want to become a doctor, that's why we killed him."
what lead to the fall of the ottoman empire?,World War I
where are facebook headquarters located?,California
what was the roman political system?,Autocracy
what government type is north korea?,Juche
where is the pepsi center?,Denver
who plays hermione granger?,Emma Watson
what inspired m.c. escher to become an artist?,Giovanni Battista Piranesi
when did abraham lincoln free the slaves?,"""""The Emancipation Proclamation...can remind us in 2013 of all the mistakes we never want to commit again but it can also motivate us to fulfill to an ever greater degree the definitive freedom-sustaining and life-enhancing principles of democracy in living action."""""
what county is denver colorado in?,Denver
what year did giants win world series?,"2010 World Series, 2012 World Series"
what kind of government iran have?,"Islamic republic, Theocracy, Unitary state"
when did melbourne get its name?,1835
who is shania twain's husband?,Frederic Thiebaud
who plays jason gideon?,Mandy Patinkin
where did president eisenhower go to college?,U.S. Army War College
what are the gods of islam?,Allah
what was vasco nunez de balboa original purpose of his journey?,Explorer
what team did kaka play for in 2009?,Real Madrid C.F.
who played george jefferson on all in the family?,Sherman Hemsley
what guitar did clapton play?,"Fender Stratocaster, Gibson SG, C. F. Martin & Company"
who did joseph from the bible marry?,Asenath
what did sir john frederick william herschel do?,"Cyanotype, Photographic fixer, Actinometer"
what college did joakim noah attend?,University of Florida
what channel does anderson cooper come on?,CNN
what money do they use in china?,Renminbi
where did wassily kandinsky work?,"University of Tartu, Bauhaus"
who influenced michael jackson?,"Redd Foxx, Charlie Chaplin, James Brown, Nipsey Russell, Walt Disney"
what all countries are in south america?,"Carrasco, Chacaltaya, Chile, Pampas, Amazon Basin, French Guiana, Peru, Guyana, Paraguay, Bolivia"
who was the leader of the ussr in 1948?,Joseph Stalin
what ship did sir francis drake travel on?,Golden Hind
what did kellie martin play on?,"A Friend to Die For, All You Need, Matinee, On the Edge of Innocence, A Goofy Movie, Mystery Woman: Mystery Weekend, Mystery Woman: Snapshot, After the Silence, Thru the Moebius Strip, Live Once, Die Twice"
what does united church of christ believe?,Christianity
where is walton goggins from?,Birmingham
what university did barack obama attend?,Columbia University
when did venus williams win wimbledon?,2009 Wimbledon Championships
who is neil patrick harris dating?,David Burtka
where is the capital city of assyrians?,Assur
what type of political system is iran?,"Islamic republic, Theocracy, Unitary state"
what do people from guam speak?,"Chamorro Language, English Language"
what to do if you have one day in bangkok?,"MRT Blue Line, Wat Benchamabophit, Grand Palace, Ananta Samakhom Throne Hall, Wat Saket, Khaosan Road, Bangkok National Museum, Samutprakarn Crocodile Farm and Zoo, Wat Pho, Wat Arun"
where was ben franklin born?,Boston
where did jerry spinelli live as a kid?,Norristown
what do costa ricans speak?,Spanish Language
what year did arizona cardinals go to superbowl?,"Pittsburgh Steelers at Arizona Cardinals, 2009-02-01"
what did charles babbage make?,Analytical Engine
who played lt uhura?,Nichelle Nichols
what is new york giants?,American football
what time is the melbourne cup?,Yearly
what schools did barack obama attend?,"Occidental College, Harvard Law School, Noelani Elementary School, Punahou School, State Elementary School Menteng 01, St. Francis of Assisi Catholic School, Columbia University"
where is the french alps located?,France
what year was peyton manning's rookie year?,1998 NFL Draft
who was peter frampton married to?,"Christina Elfers, Mary Lovett, Barbara Gold"
who has coached the baltimore ravens?,John Harbaugh
what teams did manny ramirez play for?,"Boston Red Sox, Los Angeles Dodgers, Cleveland Indians"
what type of government does iraq have 2012?,"Parliamentary system, Federation, Republic, Federal republic, Parliamentary republic"
what other jobs did benjamin franklin have?,"Diplomat, Statesman, Politician, Political activist, Author, Writer, Printer, Scientist, Librarian, Inventor"
what year was the first miss america pageant?,Miss America 1921
what kind of guitar does lindsey buckingham play?,Bass guitar
what college did joe namath attend?,University of Alabama
what city uses gmt?,"Codicote, Ballincollig, Reykjavik, Iceland, Booterstown, WF1 1HS, Oxford, Halifax, Glasgow, Harpenden"
where does the zambezi river begin?,Mwinilunga
what county is duluth minnesota in?,St. Louis County
what zip code is chicago il?,"60605, 60604, 60607, 60606, 60601, 60610, 60603, 60602, 60290, 60608"
what did andrew johnson die from?,Stroke
who is the governor of oregon 2012?,John Kitzhaber
what city is mt st helens in?,Skamania County
what is janelle monae famous for?,"Singer, Artist"
who created the ancient language in alagaesia?,Christopher Paolini
what four regions make up the united kingdom?,"Wales, England, Scotland, Northern Ireland"
what does time warner own?,WPCH-TV
where did the roma people come from?,Romani people
where was anne hathaway born?,United States of America
who did bryce dallas howard play in eclipse?,Victoria
who owns audi 2011?,Volkswagen Group
who started twa airlines?,Howard Hughes
what are the two dialects of chinese?,"Qingtian dialect, Standard Mandarin"
who was michael jackson in the wiz?,Scarecrow
where is washington dc located what state?,"Maryland, Chevy Chase, Virginia, Northern Virginia, Arlington County"
what state in chicago in?,Illinois
what is the major language spoken in greece?,"Albanian language, Greek Language"
who wrote luke bryan's drunk on you?,Jeff Stevens
what time is it in japan 24 hour clock?,"Japan Standard Time, UTC+09:00"
what state is barack obama senator for?,Illinois State Senator
what kinda music does john mayer sing?,"Soul music, Pop rock, Pop music, Indie rock, Blues-rock, Blue-eyed soul, Soul rock, Rock music, Blues, Acoustic music"
what will happen to greece when it defaults?,European Union
what boudicca do?,Warrior Queen
where did sir john a macdonald die?,Ottawa
what kind of money in aruba?,Aruban florin
what is the date today in perth?,Western Mail
what country does spanish come from?,Spain
what is south korea's capital city?,Seoul
who was darth vader in episode 3?,Hayden Christensen
when does ellen air?,Madeo Restaurant
what does obama have a degree in?,Political Science
who is the political leader of japan?,Shinzō Abe
what country did giovanni da verrazano represent?,Italy
when was saint nicholas died?,7/17/1918
what city is the jacksonville jaguars from?,Jacksonville
when is the last time the raiders won a championship?,Super Bowl XV
where is the time zone in florida?,North American Eastern Time Zone
who created youtube and when?,"Chad Hurley, Steve Chen, Jawed Karim"
what happened to farrah and her baby daddy?,Domestic partnership
what are the names of snoopy brothers and sisters?,"Olaf, Spike"
what is the laguna beach theme song?,Come Clean
what is thomas edison's most famous for?,Inventor
what does jennifer lopez do?,Actor
what country was dmitri mendeleev born?,Russia
where did pres obama go to high school?,Punahou School
what money system does australia use?,Australian dollar
when did herman cain run for president?,"Herman Cain presidential campaign, 2012"
who is caroline spencer jr s father?,Bill Spencer
when is the us open tennis mens final 2011?,2011 US Open
where does nick diaz fight?,"UFC 62: Liddell vs. Sobral, Unpleasantville, UFC 57: Couture vs. Liddell 3, UFC 53: Heavy Hitters, Elite XC: Uprising: Rua vs. Lawler, UFC: The Ultimate 100 Greatest Fights: Vol. 2, Elite XC: Return of the King: Noons vs. Edwards, Fight Life, Elite XC: Lawler vs Smith II, UFC 59: Reality Check"
where did st louis tornado hit?,St. Louis
what did whitney houston die of?,"Drowning, Coronary artery disease, Cocaine overdose"
what movies has selena gomez starred in?,"Arthur 3: The War of the Two Worlds, Monte Carlo, Spy Kids 3-D: Game Over, Wizards of Waverly Place: The Movie, Arthur and the Invisibles: The New Minimoy Adventures, Ramona and Beezus, Another Cinderella Story, Horton Hears a Who!, Arthur and the Vengeance of Maltazard, Princess Protection Program"
what to do in midland tx this weekend?,"Wilco building, Joyland Amusement Park, Fort Concho, George W. Bush Childhood Home, Midland Community Center, Brown Dorsey Medallion Home, Rock the Desert, Bank of America Building, WNB Tower, Summer Mummers"
who played freddy in friday the 13th?,"Chason Schirmer, Tobe Sexton, Robert Englund"
what contribution did hooke made to science in 1665?,Micrographia
what did eli whitney invented?,"Interchangeable parts, Cotton gin, Milling"
what movies has angelina jolie in?,"Beowulf, Cleopatra, A Mighty Heart, Changeling, Confessions of an Action Star, Celebrity News Reels: Hollywood's Most Infamous Couples and Ugliest Breakups, Beyond Borders, Alice & Viril, Angela & Viril, Alexander"
what radio station does uga football come on?,Georgia Bulldogs football
who owns the chrysler corporation?,"Steven J. Harris, Ricardo Montalbán, Robert J. Eaton, Virgis W. Colbert, Bob Lutz, Thomas W. LaSorda, Robert Nardelli"
what country christopher columbus from?,Genoa
who was michael j fox?,Actor
what movies did jenna dewan play in?,"The Grudge 2, Step Up, Take the Lead, Balls to the Wall, Fab Five: The Texas Cheerleader Scandal, Waterborne, American Virgin, Love Lies Bleeding, Tamara, Slightly Single in L.A."
what is the bosnian language?,"Serbo-Croatian, Croatian language, Bosnian language, Serbian language"
where is shawn johnson gymnast from?,Des Moines
what kind of money does the ivory coast use?,West African CFA franc
what writers influenced charles dickens?,"Tobias Smollett, Washington Irving, Miguel de Cervantes, William Wordsworth, Honoré de Balzac, Henry Fielding, Victor Hugo, Sheridan Le Fanu, William Shakespeare, Laurence Sterne"
where is roger federer from sui?,Basel
where did the florida marlins?,Miami
what movies did taylor lautner star in?,The Twilight Saga
what did nixon do when he was president?,Watergate scandal
what language did the egyptians?,Egyptian Arabic
who plays sarah marshall?,Kristen Bell
what did skinner believe?,Atheism
when did babe ruth start playing baseball in the mlb?,1914 Major League Baseball Season
who plays marlo on the wire?,Jamie Hector
what is the zip code for inglewood california?,"90311, 90307, 90306, 90305, 90304, 90303, 90302, 90301, 90309, 90308"
who was the first actor to play edward quartermaine?,David Lewis
where did the founder of google go to college?,Stanford University
what made roald dahl famous?,Novelist
what school did martin luther king jr attend?,Boston University
who did lenny kravitz marry?,Lisa Bonet
what is the second official language of canada?,French Language
what is the language called in russia?,Russian Language
what does the name austin stand for?,Stephen F. Austin
who does hank baskett play for now nov 2010?,Philadelphia Eagles
what team did ronaldo play for?,FC Barcelona
what to do today in birmingham uk?,"Millennium Point, Birmingham Nature Centre, National Exhibition Centre, Cadbury World, Aston Hall, Blakesley Hall, Sarehole Mill, Edgbaston Cricket Ground, Birmingham Museum and Art Gallery, Thinktank, Birmingham"
who was timothy mcveigh accomplice?,Terry Nichols
how old is the current president of north korea?,Kim Il-sung
what language do the people speak in australia?,"Lojban, Esperanto Language, English Language"
what college is in greeley colorado?,Aims Community College
what countries does the niger river flow through?,"Libya, Chad, Algeria, Mali, Nigeria, Burkina Faso, Benin"
what is the official state flower of arizona?,Saguaro
where is pyramids located in egypt?,The Great Pyramid of Giza
what games did bungie make?,"Minotaur: The Labyrinths of Crete, Marathon Infinity, Marathon 2: Durandal, Operation Desert Storm, Myth II: Soulblighter, Abuse, Pathways into Darkness, Gnop!, Myth: The Fallen Lords, Marathon"
who does cristiano ronaldo play for 2012?,Real Madrid C.F.
what type of laws did mary harris jones demand?,"Children's rights, Labor rights"
what language do the speak in switzerland?,"Romansh language, French Language, German Language, Italian Language"
where to stay in rome neighborhood?,Metropolitana di Roma
what style of art did van gogh produce?,Post-Impressionism
what are portuguese people considered?,Portuguese
what movies did angelina jolie star in?,"Beowulf, Cleopatra, A Mighty Heart, Changeling, Confessions of an Action Star, Celebrity News Reels: Hollywood's Most Infamous Couples and Ugliest Breakups, Beyond Borders, Alice & Viril, Angela & Viril, Alexander"
where was ancient carthage located?,Tunisia
what type of paintings did marc chagall do?,"Surrealism, Expressionism"
what movies did howard shore wrote the music for?,"The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King, The Departed, The Lord of the Rings: The Fellowship of the Ring, The Game, Vampire's Kiss, The Fly, The Silence of the Lambs, The Truth About Cats & Dogs, After Hours"
what does chilean people speak?,"Puquina Language, Spanish Language"
what were frederick douglass achievements?,"Publisher, Orator, Writer, Statesman, Author"
who plays kenneth on 30 rock?,Jack McBrayer
what is zip code for davenport iowa?,52801
where is riley's farm located?,Sunnydale
who is the current coach of the new york knicks?,Mike Woodson
what was the name of william shakespeare's children?,"Judith Quiney, Susanna Hall, Hamnet Shakespeare"
what currency does jamaica accept?,Jamaican dollar
who played howard stern in private parts?,Him/Herself
when countries joined the european union?,"1/1/1995, 1/1/2007, 1/1/1973, 5/1/2004, 3/25/1957"
which team does ronaldinho play for?,Clube Atlético Mineiro
where is eric cantor from?,Richmond
what is the currency of sweden called?,Swedish krona
what school did cam newton go to before auburn?,"Westlake High School, University of Florida, Auburn University, Blinn College"
when did ny giants win the superbowl?,"1927 New York Giants season, 2012 NFC Championship Game, 1934 NFL Championship Game, Super Bowl XXV, Super Bowl XLVI, 1938 NFL Championship Game, Super Bowl XLII, 1956 NFL Championship Game, Super Bowl XXI"
when did kerry run for president?,"John Kerry presidential campaign, 2004"
what's sweden's currency?,Swedish krona
what currency does greece use?,Euro
who are senators from utah?,"Orrin Hatch, Mike Lee, Bob Bennett"
what is the zip code for georgetown ga?,20057
who did michael vick play for in 2008?,"United States Penitentiary, Leavenworth"
when was the last shark attack in maui?,Wailuku
where was the assyrian civilization located?,Middle East
what did baron de montesquieu die from?,Fever
who are the current senators from illinois?,Dick Durbin
what inventions did robert hooke made?,"Diaphragm, Universal joint, Balance wheel"
who plays patrick jane wife?,Bruno Heller
what team does derrick rose play for?,Chicago Bulls
what countries do new zealand export to?,"Australia, Tuvalu, United States of America, United Kingdom, Kiribati, Japan"
what illness did huell howser died of?,Prostate cancer
what car models does gm make?,"Hummer, Pontiac, Chevrolet, Buick, Oldsmobile, Cadillac"
which legend of zelda game is the first?,The Legend of Zelda
what nationality is zack de la rocha?,United States of America
what years have the steelers won the super bowl?,"Super Bowl IX, Super Bowl XLIII, Super Bowl X, Super Bowl XL, Super Bowl XIV, Super Bowl XIII"
what did doc holliday die from?,Tuberculosis
what countries does britain own?,"Principality of Wales, Kingdom of Scotland"
what government does france have?,"Semi-presidential system, Constitutional republic, Unitary state"
where did robin gibb die?,London
what countries are on the mediterranean sea?,"Italy, Spain, France"
what languages do they speak in russia?,"Yiddish Language, Chuvash Language, Russian Language, Tatar Language, Ukrainian Language"
when were the phillies founded?,1883
who is john cabot's parents?,Guilo Caboto
what is the capital city of montana usa?,Helena
who succeeded william mckinley as president?,Theodore Roosevelt
what george washington carver famous for?,Peanut butter
what is the zip code for wildwood?,08260
what money currency does canada use?,Canadian dollar
where did bronx tale take place?,The Bronx
what kind of money do they use in russia?,Russian ruble
what does uvm stand for college?,University of Vermont
who plays edward elric?,Romi Park
what was samuel de champlain searching for?,Champlain's Dream: The European Founding of North America
what kind of money does germany?,Euro
who did walter raleigh sail for?,England
what cities are included in maricopa county?,"El Mirage, Cashion, Gila Bend, Arlington, Gilbert, Guadalupe, Buckeye, Glendale, Avondale, Chandler"
what time is the grand prix starting?,The Limit
what are the places to see in dubai?,"Mushrif Park, Dubai Zoo, Fish Roundabout, Jumeirah Beach, Dubai International Convention Centre, Grand mosque, The Dubai Mall, Wild Wadi Water Park, Dubai Museum, Deira Clocktower"
where is johnny depp from?,Owensboro
what characters does todd haberkorn voice?,"Death the Kid, Android 19"
what language do pakistani people talk?,Urdu Language
what does china border?,"Eurasia, Asia"
when does the russian league start?,"ru, su, .рф"
what was alice walker famous for?,Writer
where do haitian people come from?,Haiti
where is the time zone in kentucky?,North American Eastern Time Zone
what albums did john frusciante play on?,"Curtains, Smile From the Streets You Hold, Going Inside EP, From the Sounds Inside, Niandra LaDes and Usually Just a T-Shirt, DC EP, Inside of Emptiness, To Record Only Water for Ten Days, Shadows Collide With People, Demo & Acoustic Shadows Collide With People"
what influenced whitman's poetry?,"Abraham Lincoln, Edgar Allan Poe, Georg Wilhelm Friedrich Hegel, Ralph Waldo Emerson, Walter Scott, Oscar Wilde"
where did jimmy hoffa live?,Indiana
what role did frederick douglass play in the abolition movement?,American Equal Rights Association
where people speak welsh?,United Kingdom
what state obama was born?,Hawaii
what is the zip code for morgantown in?,"26508, 26501, 26502, 26504, 26505, 26506, 26507"
who is democritus and what did he discover?,Mathematician
who plays bella on twilight?,Kristen Stewart
who does cristiano ronaldo play for in 2010?,Real Madrid C.F.
where did elvis presley live before he died?,Memphis
what is the currency of germany in 2010?,Euro
what to do in daytona?,"Daytona 500 Experience, Jackie Robinson Ballpark, Daytona International Speedway, Mary McLeod Bethune Home, Daytona Beach Bike Week, Museum of Arts and Sciences, Halifax Historical Museum, Daytona Lagoon, Ocean Center, South Beach Street Historic District"
who was the vice president during george w bush?,Dick Cheney
where did kevin hart go to school?,"Castlemont High School, Temple University"
where gm cars are built?,United States of America
what kind of money do japanese use?,Japanese yen
what kind of money does chile use?,Chilean peso
what currency do italy have?,Euro
what are spanish speaking countries and their capitals?,"Honduras, Uruguay, El Salvador, Panama, Equatorial Guinea, Andorra, Guatemala, Puerto Rico, Paraguay, Belize"
